ts_code,trade_date,    open,high,    low, close,pre close,change,pct change,vol,amount
899050, 2022/04/29,1000,1000,1000,1000,,,,455216,58190.64
899050, 2022/05/05,1000.58,1036.86,993.93,1031.32,1000,31.32,0.03132,498768,58962.35
899050, 2022/05/06,1013.35,1033.05,1001.61,1024.57,1031.32,-6.75,-0.00654501,345125,42454.26
899050, 2022/05/09,1023.06,1048.26,1020.59,1044.85,1024.57,20.28,0.01979367,340561,44971.96
899050, 2022/05/10,1032.51,1061.82,1030.11,1061.82,1044.85,16.97,0.016241566,308057,41092.78
899050, 2022/05/11,1061.18,1096.92,1061.18,1081.43,1061.82,19.61,0.01846829,480865,63997
899050, 2022/05/12,1077.32,1086.59,1062.11,1071.29,1081.43,-10.14,-0.009376474,310176,38037.13
899050, 2022/05/13,1070.17,1116.4,1070.17,1115.1,1071.29,43.81,0.040894622,850265,77140.38
899050, 2022/05/16,1123.86,1136.31,1122.49,1128.56,1115.1,13.46,0.012070666,625961,65768.08
899050, 2022/05/17,1130.8,1137.4,1124.21,1136.49,1128.56,7.93,0.007026653,541064,63438.7
899050, 2022/05/18,1130.8,1136.09,1125.08,1125.83,1136.49,-10.66,-0.009379757,490755,56455.88
899050, 2022/05/19,1115.47,1131.76,1107.73,1129.62,1125.83,3.79,0.003366405,442629,46946.27
899050, 2022/05/20,1124.39,1138.79,1124.39,1136.14,1129.62,6.52,0.005771852,326829,36527.76
899050, 2022/05/23,1135.64,1141.55,1129.83,1132.84,1136.14,-3.3,-0.002904572,302607,30655.77
899050, 2022/05/24,1129.84,1133.48,1080.9,1085.79,1132.84,-47.05,-0.041532785,530699,60582.55
899050, 2022/05/25,1083.39,1088,1074.64,1081.45,1085.79,-4.34,-0.00399709,313379,34985.94
899050, 2022/05/26,1081.52,1084.63,1065.12,1079.15,1081.45,-2.3,-0.002126774,250809,27072.97
899050, 2022/05/27,1076.18,1088.26,1072.59,1078.05,1079.15,-1.1,-0.001019321,294699,31014.19
899050, 2022/05/30,1078.06,1090.02,1078.06,1085.59,1078.05,7.54,0.00699411,324778,35153.7
899050, 2022/05/31,1083.9,1095.03,1083.68,1094.29,1085.59,8.7,0.008014075,275148,33734.05
899050, 2022/06/01,1094.54,1100.84,1092.5,1097.86,1094.29,3.57,0.003262389,332702,32324.27
899050, 2022/06/02,1094.49,1113.11,1093.74,1113.11,1097.86,15.25,0.01389066,553929,56003.16
899050, 2022/06/06,1114.55,1145.01,1114.55,1142.84,1113.11,29.73,0.026708951,631558,66341.21
899050, 2022/06/07,1138.24,1152.38,1135.7,1141.24,1142.84,-1.6,-0.001400021,468055,52634.3
899050, 2022/06/08,1136.93,1147.37,1124.97,1138.27,1141.24,-2.97,-0.002602432,436253,48385
899050, 2022/06/09,1135.5,1139.85,1124.61,1127.4,1138.27,-10.87,-0.00954958,688317,53350.29
899050, 2022/06/10,1123.12,1131.95,1115.6,1131.43,1127.4,4.03,0.003574596,565691,42841.86
899050, 2022/06/13,1124.63,1127.69,1115.75,1120.34,1131.43,-11.09,-0.009801755,371918,35120.5
899050, 2022/06/14,1114.63,1114.98,1096.02,1113.47,1120.34,-6.87,-0.006132067,510365,49005.62
899050, 2022/06/15,1110.44,1120.86,1110.44,1112.68,1113.47,-0.79,-0.000709494,441983,41615.16
899050, 2022/06/16,1109.11,1118.14,1107.53,1112.32,1112.68,-0.36,-0.000323543,397156,39524.23
899050, 2022/06/17,1107.93,1119.46,1105.13,1118.72,1112.32,6.4,0.00575374,449114,52241.7
899050, 2022/06/20,1119,1137.22,1119,1135.95,1118.72,17.23,0.01540153,493865,56471.49
899050, 2022/06/21,1134.1,1136.12,1121.76,1126.42,1135.95,-9.53,-0.008389454,346168,37467.5
899050, 2022/06/22,1122.88,1133.69,1118.62,1122.46,1126.42,-3.96,-0.003515563,291269,30481.63
899050, 2022/06/23,1118.51,1134.39,1118.51,1134.39,1122.46,11.93,0.010628441,336522,38615.24
899050, 2022/06/24,1134.11,1146.64,1133.71,1146.64,1134.39,12.25,0.010798755,396928,49724.29
899050, 2022/06/27,1149.38,1167.99,1149.38,1167.99,1146.64,21.35,0.018619619,504845,62623.65
899050, 2022/06/28,1167.82,1197.84,1162.23,1195.94,1167.99,27.95,0.023929999,1126505,105050.5
899050, 2022/06/29,1188.14,1194.49,1165.36,1167.07,1195.94,-28.87,-0.024140007,820110,79231.11
899050, 2022/06/30,1165.34,1174.33,1164.77,1167.12,1167.07,0.05,4.28423E-05,530112,56623.49
899050, 2022/07/01,1165.71,1173.32,1156.93,1160.97,1167.12,-6.15,-0.005269381,360119,35267.21
899050, 2022/07/04,1157.6,1159.84,1140.59,1149.2,1160.97,-11.77,-0.010138074,328661,41514.36
899050, 2022/07/05,1145.49,1152.21,1132.54,1141.19,1149.2,-8.01,-0.006970066,382166,45097.3
899050, 2022/07/06,1137.39,1140.89,1123.15,1129.82,1141.19,-11.37,-0.009963284,323778,35152.5
899050, 2022/07/07,1127.9,1134.36,1119.64,1130.26,1129.82,0.44,0.000389443,238171,28247.08
899050, 2022/07/08,1128.25,1138.14,1125.14,1131.52,1130.26,1.26,0.001114788,233587,30539.39
899050, 2022/07/11,1128.66,1132.48,1110.71,1113.68,1131.52,-17.84,-0.015766403,287728,34133.84
899050, 2022/07/12,1110.82,1116.06,1099.57,1102.56,1113.68,-11.12,-0.009984915,395641,35147.1
899050, 2022/07/13,1099.06,1106.62,1096.02,1102.42,1102.56,-0.14,-0.000126977,347004,31858.03
899050, 2022/07/14,1096.19,1105.21,1094.33,1103.72,1102.42,1.3,0.001179224,310381,34420.43
899050, 2022/07/15,1106.77,1109.31,1086.8,1089.18,1103.72,-14.54,-0.013173631,320240,34462.18
899050, 2022/07/18,1085.94,1088.79,1078.28,1088.79,1089.18,-0.39,-0.000358068,324163,52802.18
899050, 2022/07/19,1085.26,1093.06,1083.62,1089.92,1088.79,1.13,0.001037849,325999,45166.43
899050, 2022/07/20,1087.45,1095.83,1087.45,1093.86,1089.92,3.94,0.003614944,370897,47623.14
899050, 2022/07/21,1086.03,1089.57,1082.38,1085.18,1093.86,-8.68,-0.007935202,304303,57181.97
899050, 2022/07/22,1080.41,1087.88,1075.66,1078.72,1085.18,-6.46,-0.005952929,363410,47332.61
899050, 2022/07/25,1079.12,1081.18,1064.56,1066.42,1078.72,-12.3,-0.011402403,275726,35445.72
899050, 2022/07/26,1067.03,1082.87,1061.7,1082.87,1066.42,16.45,0.015425442,599780,63810.91
899050, 2022/07/27,1085.27,1085.27,1076.8,1080.78,1082.87,-2.09,-0.001930056,912156,82665.47
899050, 2022/07/28,1081.96,1083.91,1068.16,1073.09,1080.78,-7.69,-0.007115232,599179,59184.01
899050, 2022/07/29,1072.4,1075.47,1060.98,1061.11,1073.09,-11.98,-0.011164022,436304,47671.5
899050, 2022/08/01,1060.09,1062.89,1053.15,1058.17,1061.11,-2.94,-0.002770684,369650,43340.47
899050, 2022/08/02,1053.18,1053.18,1011.51,1020.95,1058.17,-37.22,-0.035173932,630269,66341.98
899050, 2022/08/03,1018.14,1031.32,1011.54,1014.93,1020.95,-6.02,-0.005896469,399469,49907.22
899050, 2022/08/04,1017.17,1026.03,1012.25,1022.65,1014.93,7.72,0.007606436,301762,35927.47
