"ID","age","sex","job","education","condition","trial","inflations","exploded"
4,34,"male","unemployed","high_school","normal_low",27,25,0
4,34,"male","unemployed","high_school","normal_low",28,35,0
4,34,"male","unemployed","high_school","normal_low",29,25,0
4,34,"male","unemployed","high_school","normal_low",30,22,1
5,58,"female","working","bachelor","normal_moderate",1,25,1
5,58,"female","working","bachelor","normal_moderate",2,15,0
5,58,"female","working","bachelor","normal_moderate",3,24,0
5,58,"female","working","bachelor","normal_moderate",4,22,1
5,58,"female","working","bachelor","normal_moderate",5,20,0
5,58,"female","working","bachelor","normal_moderate",6,23,0
5,58,"female","working","bachelor","normal_moderate",7,20,0
5,58,"female","working","bachelor","normal_moderate",8,22,1
5,58,"female","working","bachelor","normal_moderate",9,18,1
5,58,"female","working","bachelor","normal_moderate",10,11,0
5,58,"female","working","bachelor","normal_moderate",11,15,0
5,58,"female","working","bachelor","normal_moderate",12,12,1
5,58,"female","working","bachelor","normal_moderate",13,4,1
5,58,"female","working","bachelor","normal_moderate",14,16,0
5,58,"female","working","bachelor","normal_moderate",15,16,0
5,58,"female","working","bachelor","normal_moderate",16,19,0
5,58,"female","working","bachelor","normal_moderate",17,16,0
5,58,"female","working","bachelor","normal_moderate",18,15,0
5,58,"female","working","bachelor","normal_moderate",19,18,0
5,58,"female","working","bachelor","normal_moderate",20,17,0
5,58,"female","working","bachelor","normal_moderate",21,20,0
5,58,"female","working","bachelor","normal_moderate",22,20,0
5,58,"female","working","bachelor","normal_moderate",23,16,0
5,58,"female","working","bachelor","normal_moderate",24,19,1
5,58,"female","working","bachelor","normal_moderate",25,22,0
5,58,"female","working","bachelor","normal_moderate",26,25,0
5,58,"female","working","bachelor","normal_moderate",27,24,0
5,58,"female","working","bachelor","normal_moderate",28,28,1
5,58,"female","working","bachelor","normal_moderate",29,20,0
5,58,"female","working","bachelor","normal_moderate",30,24,1
6,51,"female","working","bachelor","normal_high",1,17,0
6,51,"female","working","bachelor","normal_high",2,13,0
6,51,"female","working","bachelor","normal_high",3,33,0
6,51,"female","working","bachelor","normal_high",4,36,0
6,51,"female","working","bachelor","normal_high",5,14,1
6,51,"female","working","bachelor","normal_high",6,26,0
